Time [s],Temperature [C],DutyCycle [%],Setpoint [C]
1.09672546387e-05,66.9,0.0,78.0
2.02476215363,66.9,0.0,78.0
4.04024004936,66.9,0.0,78.0
6.05888700485,66.7,100.0,78.0
8.53257608414,66.7,100.0,78.0
10.5481421947,66.7,100.0,78.0
12.5658450127,66.7,100.0,78.0
14.5818929672,66.7,100.0,78.0
16.5971970558,66.7,100.0,78.0
18.6129181385,66.7,100.0,78.0
20.6305370331,66.7,100.0,78.0
22.6457910538,66.7,100.0,78.0
24.6620550156,66.5,100.0,78.0
26.6777009964,66.5,100.0,78.0
28.6958100796,66.7,100.0,78.0
30.7118341923,66.7,100.0,78.0
32.7296710014,66.7,100.0,78.0
34.7458941936,66.7,100.0,78.0
36.7641451359,66.9,100.0,78.0
38.7796051502,66.9,100.0,78.0
40.7950150967,66.9,100.0,78.0
42.8117260933,66.9,100.0,78.0
44.8294751644,66.9,100.0,78.0
46.8478441238,66.9,100.0,78.0
48.8639090061,67.2,100.0,78.0
50.8822300434,67.2,100.0,78.0
