Time [s],Temperature [C]
1.12056732178e-05,69.8
10.0369610786,69.8
20.0545780659,69.8
30.0718231201,70.0
40.0889120102,70.0
50.106924057,70.0
60.7262890339,70.2
70.7433571815,70.7
80.7606711388,70.7
90.7755792141,70.7
100.793059111,70.7
110.809835196,70.9
120.827378035,70.9
130.841814995,70.7
140.859632015,70.7
150.876201153,70.7
160.890508175,70.7
170.909058094,70.5
180.925307035,70.5
190.940847158,70.5
200.956827164,70.5
210.972180128,70.5
220.988829136,70.5
231.003859997,70.2
241.01970005,70.2
251.035243988,70.2
261.051591158,70.2
271.066141129,70.0
281.083907127,69.8
291.100883007,69.8
301.114576101,69.6
311.129834175,69.6
321.146631002,69.8
331.163673162,69.8
341.178755045,69.8
351.195581198,70.0
361.211755991,70.0
371.227890015,70.2
381.244740009,70.5
391.259947062,70.5
401.277228117,70.7
411.29460907,70.7
421.31233716,70.7
431.326039076,70.7
441.340206146,70.7
451.35781002,70.5
461.37256217,70.5
471.389291048,70.5
481.404442072,70.5
491.420135021,70.2
501.435168028,70.2
511.452363014,70.2
521.466808081,70.2
531.484713078,70.2
541.501560211,70.2
551.51574111,70.0
561.533493042,70.0
571.550816059,70.0
581.565508127,70.0
591.582404137,70.0
601.59752202,69.8
611.613456011,69.8
621.628239155,69.8
631.645915031,69.8
641.663107157,70.0
651.678148985,70.2
661.69589901,70.7
671.712658167,70.7
681.727604151,70.9
691.744789124,70.9
701.761561155,71.2
711.777193069,70.9
721.794360161,70.9
731.810348034,70.9
741.82626009,70.9
751.843910217,70.9
761.859714985,70.7
771.874791145,70.7
781.888794184,70.7
791.904901028,70.5
801.920486212,70.7
811.93564105,70.5
821.952231169,70.5
831.966236115,70.5
841.98105216,70.5
851.998872995,70.2
862.014587164,70.2
872.02967,70.2
882.047919989,70.2
892.065849066,70.2
902.082138062,70.0
912.097743034,70.0
922.113534212,70.0
932.128139019,70.0
942.143471003,70.2
952.160551071,70.5
962.176977158,70.7
972.192537069,70.9
982.209666014,71.2
992.224163055,71.2
1002.24151921,71.2
1012.25880909,71.2
1022.27438402,71.2
1032.29131913,71.2
1042.3113451,71.2
1052.32764101,71.2
1062.34463906,71.2
1072.36220908,71.2
1082.37638307,70.9
1092.39327216,70.9
1102.40789104,70.9
1112.4247241,70.9
1122.44085407,70.7
1132.4571991,70.7
1142.4717741,70.7
1152.48927307,70.7
1162.50704312,70.5
1172.52572322,70.5
1182.54290104,70.5
1192.55953217,70.5
1202.57466006,70.5
1212.59215713,70.2
1222.6095562,70.2
1232.62413311,70.2
1242.64074111,70.5
1252.65614605,70.7
1262.67335606,70.9
1272.69019604,71.2
1282.7055192,71.2
1292.72203612,71.4
1302.7377212,71.4
1312.754421,71.4
1322.77110219,71.4
1332.78689814,71.2
1342.803509,71.2
1352.81712604,71.2
1362.83323312,71.2
1372.84960508,71.2
1382.86652112,70.9
1392.88227701,70.9
1402.89742613,70.9
1412.91271615,70.9
1422.93023801,70.7
1432.94803214,70.7
1442.96678901,70.7
1452.98341322,70.7
1462.99814701,70.7
1473.01410413,70.5
1483.02893806,70.5
1493.04646921,70.5
1503.06231022,70.5
1513.07887912,70.5
1523.09584999,70.2
1533.11195207,70.5
1543.12835002,70.5
1553.14530921,70.7
1563.16293716,70.9
1573.17835808,71.2
1583.19580817,71.4
1593.212708,71.4
1603.22709513,71.4
1613.24494314,71.4
1623.26214099,71.4
1633.27707505,71.4
1643.29428601,71.4
1653.31194115,71.4
1663.3270061,71.2
1673.34332514,71.2
1683.35879922,71.2
1693.37466908,71.2
1703.38909721,70.9
1713.40511322,70.9
1723.4207902,70.9
1733.43756413,70.7
1743.45250201,70.7
1753.47060704,70.5
1763.48741317,70.5
1773.50333714,70.5
1783.51926017,70.5
1793.53759599,70.2
1803.55424809,70.5
1813.56888604,70.2
1823.58572912,70.2
1833.60207605,70.5
1843.61762714,70.5
1853.63495612,70.7
1863.64986801,70.9
1873.66714501,70.9
1883.6852541,71.2
1893.70260215,71.4
1903.71630502,71.4
1913.73130512,71.7
1923.74730921,71.4
1933.7631762,71.4
1943.78039908,71.4
1953.79733205,71.2
1963.81202006,71.2
1973.8292501,71.2
1983.84654212,71.2
1993.86188102,70.9
2003.87818909,70.9
2013.89235115,70.9
2023.90915108,70.9
2033.92323899,70.9
2043.93843508,70.7
2053.95424819,70.7
2063.96975803,70.7
2073.98628306,70.7
2084.00454617,70.5
2094.0219171,70.5
2104.03988504,70.2
2114.05837607,70.2
2124.07496119,70.2
2134.08872914,70.2
2144.10346603,70.5
2154.11915112,70.7
2164.13461018,70.9
2174.1513741,71.2
2184.16642499,71.4
2194.183851,71.4
2204.20233321,71.4
2214.21857715,71.4
2224.23385406,71.4
2234.25029516,71.2
2244.26616812,71.2
2254.2821641,71.2
2264.29678822,71.2
2274.31370807,70.7
2284.32805204,70.5
2294.34682107,70.0
2304.36351204,69.8
